Product Title,Product Price,Product Rating,Product Reviews,Seller Name,Seller Rating,Seller Followers,Seller Products
"Casual American Crepe And Rasal Net Round-Neck 3/4 Length Sleeves Black Kurti (45""Inches)",₹174,3.9,279 Reviews,CE Dresses0,"3.9272,746 Ratings","2,643Followers","1,288Products"
Trendy Drishya Kurtis,₹441,3.9,2425 Reviews,SSM Retail,"3.948,129 Ratings","16,523Followers",43Products
Myra stylissh cotton kurti with pant,₹428,3.6,61 Reviews,KAUSHIK_ENTERPRISE,3.6452 Ratings,22Followers,18Products
Cotton Leheriya Print Pink Straight Sleeveless Kurti for Girls,₹191,4.1,15 Reviews,AtoZ Mart4,"4.010,276 Ratings",110Followers,7Products
Aishani Petite Kurtis,₹268,3.6,365 Reviews,Bellissa Fashion,"3.63,849 Ratings",134Followers,91Products
LIBOZA NYRA CUT KURTI FOR WOMEN || ETHNIC WEAR,₹420,NA,NA,AAVA INDIA,--Too few ratings,2Followers,14Products
Women Printed Cotton Blend Straight Kurta  (Green),₹302,3.8,1003 Reviews,HIMANSHI FASHION,"3.913,464 Ratings",357Followers,18Products
Attractive  Women Solid Straight Kurtis,₹260,4.0,265 Reviews,Aarav_NX,"4.05,963 Ratings",117Followers,51Products
New Ethnic 4 You Women's and Girls Daily Wear Straight Kurti (Pack OF 4 Piece Kurta),₹521,3.0,NA,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
Women's Crepe Printed Long Kurti Combo of 2,₹292,3.7,18643 Reviews,Shiv Enter,"3.7460,110 Ratings","4,905Followers",341Products
Alisha Attractive Kurtis,₹512,3.9,363 Reviews,dishi_chikanhandicraft,"3.76,536 Ratings",250Followers,20Products
kurti,₹362,NA,NA,M Fabs,3.5293 Ratings,21Followers,8Products
Kurti,₹260,3.8,71 Reviews,MIEW INTERNATIONAL,3.8712 Ratings,13Followers,6Products
Combo Pack 6 Piece CREPE KURTI For Women and Girls,₹837,3.8,9 Reviews,H D Enter,"3.64,736 Ratings",168Followers,"2,533Products"
Women's Printed   Cotton Kurti,₹301,3.9,7007 Reviews,Rangrasiyatex,"4.0267,539 Ratings","4,399Followers",83Products
Trendy Designer Women Slit Dresses,₹296,3.7,243 Reviews,Madame,"3.970,298 Ratings","5,320Followers",296Products
Women's fancy Platinium crepe Pattern neck Red kurti,₹276,NA,NA,PRUSHTI FASHION,3.737 Ratings,12Followers,58Products
kurti with trouser,₹322,4.0,184 Reviews,BRIGHT FABRICS MRT,"4.01,588 Ratings",26Followers,9Products
GOWN,₹362,4.1,148 Reviews,POOJA FASHION POINT,"4.01,938 Ratings",79Followers,20Products
